Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
10/12/2021,85048.14063,85626.72042,83819.07182,84434.74702,16687
10/13/2021,85533.94531,86222.78703,84871.83092,85585.05628,11972
10/14/2021,84600.11719,86024.13133,84434.67005,85760.89351,7265
10/18/2021,83753.4375,86322.14047,83441.42462,84732.78,20490
10/19/2021,82461.17969,84609.84268,82040.14666,84274.83533,15834
10/20/2021,81967.82031,82827.96837,80461.35832,82597.06104,28021
10/21/2021,80552.21094,82845.35987,80362.57418,82725.00928,18125
10/22/2021,80263.09375,81726.15118,79547.4858,80560.74959,24048
10/25/2021,78901.25781,80957.98926,78491.00421,80957.98926,19941
10/26/2021,79561.14844,79964.69699,78756.48815,78971.34671,7847
10/27/2021,78844.99219,80039.20103,78673.34436,79958.73966,6723
10/28/2021,77093.25,79179.13757,76785.95562,78845.17019,12606
10/29/2021,76794.07813,77878.66928,76140.30613,77481.28257,9403
11/1/2021,78217.42969,78452.95456,76736.29807,77177.34553,7650
11/2/2021,78062.63281,78862.07801,77828.99372,77828.99372,6829
11/3/2021,77450.42188,78663.40337,77282.64658,78335.5978,7732
11/4/2021,77891.0625,78111.04298,77580.68717,77853.81187,1245
11/8/2021,79410.65625,79773.97411,78027.66433,78355.46992,9209
11/9/2021,77986.63281,79954.60693,77482.30583,79761.0511,23116
11/10/2021,77647.70313,78403.89098,77530.98447,77985.93887,9926
11/11/2021,76697.46094,77878.50775,76388.62991,77878.50775,12757
11/12/2021,77654.99219,77777.17424,76740.36514,77064.09636,11688
11/15/2021,77963.58594,78345.57565,77282.64439,77878.6545,10112
11/16/2021,77923.15625,78919.6883,77690.16906,77888.59077,16137
11/17/2021,78849.34375,78974.36321,78007.84304,78174.14244,10113
11/18/2021,76952.57813,79139.22761,76787.92401,79073.71054,10930
11/22/2021,75157.36719,77383.9459,74523.98133,77327.32278,15725
11/23/2021,75995.72656,76191.87415,74597.137,75298.81824,7408
11/24/2021,75963.92969,76886.09642,75610.88115,76147.70647,6410
11/25/2021,75163.13281,76190.89387,74782.86689,76063.29005,10280
11/26/2021,74693.21094,75149.82029,74018.35109,75149.82029,9869
11/29/2021,73330.17969,74603.40847,72567.00919,74409.74433,8554
11/30/2021,74137.35156,75493.52821,73054.76023,73054.76023,25947
12/1/2021,73221.25,74861.72961,73015.12196,74494.07511,11738
12/2/2021,73393.21094,73788.87435,72765.78541,73633.90579,11728
12/3/2021,73393.80469,74198.00679,73277.1359,73699.42679,6322
12/6/2021,72645.53906,73646.47866,72472.44115,73461.06429,7682
12/7/2021,73122.20313,73391.31041,72866.00989,73202.76845,4638
12/8/2021,74161.69531,74745.26435,73520.02082,73558.41373,8118
12/9/2021,74174.85938,74777.3028,73611.16585,74438.90664,6709
12/10/2021,73730.25781,74504.10714,73510.71904,73565.35539,4831
12/13/2021,73304.11719,74614.39649,73158.08909,74186.24609,7479
12/14/2021,73621.83594,73709.40155,73014.02984,73163.03806,5830
12/15/2021,73496.32813,74057.09581,73312.0546,73515.6992,3594
12/16/2021,72821.75781,73807.39282,72616.66974,73570.32231,8181
12/17/2021,72078.3125,72894.83109,71623.29411,72785.55838,10564
12/20/2021,69488.00781,71722.53389,68245.77575,71523.95712,19827
12/21/2021,69948.09375,70669.34797,69487.51082,69488.00752,11270
12/22/2021,70082.99219,70818.64269,69771.61156,70033.71858,8950
12/23/2021,70559.96094,71027.24915,70232.58523,70520.62122,8715
12/24/2021,69627.27344,70828.57461,69245.85896,70828.57461,8524
12/27/2021,70059.89063,70222.06123,68553.71249,69625.57825,7843
12/28/2021,71144.17969,71522.9555,70073.60214,70073.60214,8194
12/29/2021,72079.3125,72217.19946,70927.92883,71374.95359,9449
12/30/2021,71642.69531,72406.06746,71375.22558,72218.27055,6786
12/31/2021,72853.10156,73211.96304,71534.87546,71534.87546,6473
1/3/2022,72882.60938,73490.81129,72630.23445,73103.3899,5871
1/4/2022,73448.35156,73510.73324,72865.03086,73180.63342,6005
1/5/2022,73556.42188,73908.08129,73295.16078,73448.34434,7370
1/6/2022,73664.98438,74002.44139,72716.00389,73416.34246,7559
1/7/2022,73698.76563,74080.87857,73064.73566,73719.47932,5550
1/10/2022,73795.25,74483.37328,73659.75337,73719.35667,5451
1/11/2022,73800.10938,73952.79627,73429.28061,73794.84752,5864
1/12/2022,74885.32813,74998.92362,73769.05469,73800.09808,7862
1/13/2022,75474.69531,75795.51311,74534.11199,75051.46541,9077
1/14/2022,75631.25781,75772.81562,74846.87697,75467.69801,4493
1/17/2022,76314.28125,76675.12957,75298.88314,75631.27244,6852
1/18/2022,75792.39063,76788.80554,75497.50179,76342.87513,8057
1/19/2022,76023.85156,76272.64098,75149.8174,75795.51973,6542
1/20/2022,73240.77344,75594.80856,73014.03258,75594.80856,16368
1/21/2022,72216.44531,74305.43988,71577.94503,73153.10953,11025
1/24/2022,70607.39844,72507.35416,69539.15694,72219.31816,10330
1/25/2022,70103.35938,71771.848,69353.79365,70431.22405,11974
1/27/2022,70245.10156,70579.22919,69000.28542,69656.37167,10272
1/28/2022,70856.09375,72368.3254,70600.09452,70600.09452,9147
1/31/2022,71671.0625,72020.68077,70928.94729,71702.75003,6201
